provider,gpu,forecast_signal,confidence,avg_price,price_spread,record_count,availability_sum,recommendation,model_source,model_name,price_trend,availability_trend,selection_strategy,production_status
runpod,A100 PCIe,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,A100 SXM,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,A100 SXM 40GB,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,A40,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,B200,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,B300,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,B300 MIG 34GB,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,H100 NVL,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,H100 PCIe,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,H100 SXM,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,H200 NVL,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,H200 SXM,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,L4,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,L40,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,L40S,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,MI300X,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,NVIDIA GeForce GTX 1050,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,NVIDIA GeForce GTX 1050 Ti,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,PRO 6000 MIG 24GB,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,PRO 6000 MIG 48GB,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,RTX 2000 Ada,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,RTX 3070,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,RTX 3080,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,RTX 3080 Ti,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,RTX 3090,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
runpod,RTX 3090 Ti,stable_market_expected,53,0.0,,3,,,v2_trend_based,forecast_engine_v3,0.0,0.0,highest_confidence_champion,candidate
