timestamp,market_pulse_score,market_pulse_band,confidence_score,confidence_band,terminal_risk_score,gpu_scarcity_index,pricing_pressure,frontier_gpu_index,active_alerts,live_data_quality_score,data_moat_score,headline
2026-06-22T17:52:33.310571+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-22T17:53:12.217622+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-22T17:56:56.815958+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-22T18:01:04.991570+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-22T18:02:43.032886+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-22T18:05:50.649104+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-22T18:11:35.329546+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-22T18:16:21.614675+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-23T09:25:56.761778+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-23T09:27:52.345592+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-23T09:42:51.591824+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-23T09:45:59.661105+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-23T09:48:53.141045+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-23T09:54:07.758209+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-23T10:07:53.614734+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-23T10:10:01.233257+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-23T15:19:59.447292+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-24T06:41:16.931663+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-24T08:25:18.025187+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-24T08:29:41.505080+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-24T08:36:58.408040+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-24T08:43:49.293659+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-24T08:50:06.903922+00:00,51.53,watch,100.0,high,75.0,34.06,53.24,11.1471,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-24T17:23:43.495406+00:00,55.91,watch,100.0,high,75.0,34.06,75.0,11.4369,1.0,100.0,100.0,AI infrastructure market is in watch mode.
2026-06-25T06:58:35.977971+00:00,55.91,watch,100.0,high,75.0,34.06,75.0,11.4369,1.0,100.0,100.0,AI infrastructure market is in watch mode.
